data,label
07.03.11,07-03-2011
двадцать седьмого 10 2050,27-10-2050
двадцать пятого июня 2019,25-06-2019
17.04.2011,17-04-2011
03/07/50,03-07-2050
29/06/50,29-06-2050
14.06.50,14-06-2050
19 ноября 2050,19-11-2050
второе октября 2050,02-10-2050
третье 11 2011,03-11-2011
07.12.2050,07-12-2050
16/01/2019,16-01-2019
пятнадцатого июля 2019,15-07-2019
двадцать седьмое сентября 2050,27-09-2050
тринадцатое декабря 2050,13-12-2050
шестнадцатого 04 2050,16-04-2050
четвертое 03 2050,04-03-2050
27.04.2050,27-04-2050
24 октября 2011,24-10-2011
одинадцатого мая 2050,11-05-2050
четырнадцатого 04 2011,14-04-2011
08.04.2050,08-04-2050
восьмое 03 2050,08-03-2050
двадцать первое января 2019,21-01-2019
двадвацть четвертого 10 2019,24-10-2019
23.09.2050,23-09-2050
двадцатого октября 2019,20-10-2019
30.07.2011,30-07-2011
16 марта 2050,16-03-2050
07.06.2050,07-06-2050
тридцатого 01 2011,30-01-2011
семндацатое января 2019,17-01-2019
пятнадцатое 06 2011,15-06-2011
тридцатое июня 2019,30-06-2019
29.04.2011,29-04-2011
30.01.19,30-01-2019
24 июля 2011,24-07-2011
третье марта 2011,03-03-2011
13 июля 2050,13-07-2050
двадцать восьмого сентября 2011,28-09-2011
19.07.2011,19-07-2011
04.12.19,04-12-2019
19/09/2050,19-09-2050
шестнадцатого 12 2050,16-12-2050
07.03.2050,07-03-2050
пятнадцатого сентября 2050,15-09-2050
11.01.11,11-01-2011
28/10/2050,28-10-2050
09.12.50,09-12-2050
20/04/2019,20-04-2019
девятнадцатое 10 2011,19-10-2011
семндацатое марта 2011,17-03-2011
десятого марта 2019,10-03-2019
одинадцатое 04 2019,11-04-2019
29.05.11,29-05-2011
четвертое 06 2019,04-06-2019
шестнадцатого ноября 2019,16-11-2019
двадцать шестое 04 2011,26-04-2011
11/06/19,11-06-2019
05.10.19,05-10-2019
четырнадцатого 01 2011,14-01-2011
15 февраля 2019,15-02-2019
22.10.11,22-10-2011
