data,label
02.12.2019,02-12-2019
23/08/2011,23-08-2011
27.06.50,27-06-2050
11/09/2019,11-09-2019
24/03/2019,24-03-2019
09/11/11,09-11-2011
19/09/11,19-09-2011
07.11.2019,07-11-2019
28 juni 2050,28-06-2050
03/11/11,03-11-2011
09/12/2050,09-12-2050
07.10.11,07-10-2011
den tjugonde november 2050,20-11-2050
13.10.2019,13-10-2019
29 mars 2019,29-03-2019
den tjugoåttonde mars 2019,28-03-2019
den åttonde 10 2019,08-10-2019
06/04/11,06-04-2011
31.10.2050,31-10-2050
24/06/11,24-06-2011
den tjugofjärde april 2019,24-04-2019
den tredje 07 2050,03-07-2050
den tionde januari 2050,10-01-2050
19 februari 2050,19-02-2050
09/06/11,09-06-2011
06 maj 2050,06-05-2050
08 oktober 2011,08-10-2011
den tjugosjätte 07 2019,26-07-2019
den första maj 2019,01-05-2019
den tjugoåttonde 10 2050,28-10-2050
07.03.2011,07-03-2011
den dolfte 10 2011,12-10-2011
30/03/50,30-03-2050
02/07/50,02-07-2050
14 september 2019,14-09-2019
19 maj 2019,19-05-2019
den första april 2011,01-04-2011
den tjugosjätte juli 2011,26-07-2011
19 november 2050,19-11-2050
28/10/2011,28-10-2011
05/06/11,05-06-2011
06.02.2019,06-02-2019
24/11/2019,24-11-2019
den trettonde februari 2011,13-02-2011
08.12.50,08-12-2050
den tredje 04 2011,03-04-2011
den fjärtonde 01 2050,14-01-2050
den tjugonionde maj 2019,29-05-2019
03/05/11,03-05-2011
07.07.2019,07-07-2019
den femtonde 05 2011,15-05-2011
10/01/11,10-01-2011
07/06/50,07-06-2050
29.08.2011,29-08-2011
30/09/2050,30-09-2050
23/10/2011,23-10-2011
den trettioförsta juli 2011,31-07-2011
den sextonde juni 2019,16-06-2019
den tjugosjunde april 2011,27-04-2011
den artonde oktober 2019,18-10-2019
den sjunde 10 2050,07-10-2050
20/07/2019,20-07-2019
den artonde 11 2019,18-11-2019
20.03.2019,20-03-2019
17.07.2019,17-07-2019
01/08/19,01-08-2019
16/12/11,16-12-2011
13.04.11,13-04-2011
21.12.2019,21-12-2019
06/07/2011,06-07-2011
den dolfte augusti 2050,12-08-2050
11.04.50,11-04-2050
29.11.2011,29-11-2011
10/07/19,10-07-2019
09/01/2050,09-01-2050
den elfte april 2011,11-04-2011
den trettonde 04 2050,13-04-2050
den tjugoandra 04 2011,22-04-2011
den tionde mars 2011,10-03-2011
28/11/19,28-11-2019
den sextonde juli 2011,16-07-2011
den dolfte april 2019,12-04-2019
17/12/2019,17-12-2019
12.01.19,12-01-2019
den elfte november 2011,11-11-2011
15 maj 2050,15-05-2050
05.08.11,05-08-2011
03/10/11,03-10-2011
20 augusti 2011,20-08-2011
den tjugoandra mars 2019,22-03-2019
den tjugofemte april 2050,25-04-2050
den åttonde juli 2011,08-07-2011
10 januari 2019,10-01-2019
25.03.2050,25-03-2050
15/01/11,15-01-2011
den nittonde 09 2019,19-09-2019
05 mars 2011,05-03-2011
24/08/11,24-08-2011
den tjugonde maj 2011,20-05-2011
den tjugofjärde april 2011,24-04-2011
den tjugonionde december 2050,29-12-2050
04/07/2011,04-07-2011
04/03/50,04-03-2050
23 juli 2019,23-07-2019
27.11.50,27-11-2050
16/02/2050,16-02-2050
den tjugoåttonde juli 2050,28-07-2050
11.11.50,11-11-2050
den fjärde 04 2019,04-04-2019
27 augusti 2011,27-08-2011
den tjugotredje februari 2050,23-02-2050
17/01/2011,17-01-2011
29.09.11,29-09-2011
29.06.2019,29-06-2019
den tjugonde januari 2011,20-01-2011
01.04.19,01-04-2019
den elfte 05 2011,11-05-2011
14 november 2011,14-11-2011
den trettionde 06 2019,30-06-2019
den femtonde december 2019,15-12-2019
18/09/50,18-09-2050
17.09.50,17-09-2050
28/04/2019,28-04-2019
14 september 2050,14-09-2050
den tjugosjätte 10 2011,26-10-2011
01.11.2011,01-11-2011
27.02.50,27-02-2050
13/06/2050,13-06-2050
den sjuttonde juni 2011,17-06-2011
30.01.19,30-01-2019
30.09.11,30-09-2011
28.07.2019,28-07-2019
25/10/19,25-10-2019
23.07.11,23-07-2011
11/01/19,11-01-2019
04/10/2050,04-10-2050
den tredje 06 2050,03-06-2050
29/06/11,29-06-2011
06/03/19,06-03-2019
26/08/19,26-08-2019
05 maj 2019,05-05-2019
15/04/19,15-04-2019
14.03.50,14-03-2050
26.01.2019,26-01-2019
den elfte oktober 2011,11-10-2011
10/08/2011,10-08-2011
19/07/19,19-07-2019
17.07.2011,17-07-2011
den tjugoandra 09 2050,22-09-2050
13 september 2050,13-09-2050
18.04.2011,18-04-2011
05.02.2011,05-02-2011
den tjugofemte 04 2019,25-04-2019
19 februari 2019,19-02-2019
27/04/19,27-04-2019
den tredje december 2019,03-12-2019
12/06/2019,12-06-2019
14/11/50,14-11-2050
22/10/50,22-10-2050
13/10/50,13-10-2050
den tjugoandra mars 2011,22-03-2011
11.10.50,11-10-2050
06.01.2011,06-01-2011
den fjärtonde 07 2011,14-07-2011
21/04/2011,21-04-2011
14/03/2011,14-03-2011
26/12/2050,26-12-2050
26/05/2050,26-05-2050
02/01/2011,02-01-2011
den elfte oktober 2019,11-10-2019
25/06/2011,25-06-2011
25.07.2011,25-07-2011
den artonde maj 2011,18-05-2011
10/11/2011,10-11-2011
03/05/19,03-05-2019
22.11.11,22-11-2011
20/01/50,20-01-2050
25.02.50,25-02-2050
16 november 2011,16-11-2011
den fjärtonde februari 2019,14-02-2019
20.03.2011,20-03-2011
07.11.50,07-11-2050
22 december 2011,22-12-2011
22 december 2019,22-12-2019
den sjätte 04 2019,06-04-2019
den nittonde oktober 2050,19-10-2050
den elfte 04 2019,11-04-2019
03/10/50,03-10-2050
den tjugosjätte 02 2050,26-02-2050
11/03/19,11-03-2019
den trettioförsta 03 2050,31-03-2050
13/01/2011,13-01-2011
den tredje 02 2019,03-02-2019
19/08/11,19-08-2011
31.12.50,31-12-2050
den fjärtonde november 2019,14-11-2019
31 januari 2019,31-01-2019
18.06.2011,18-06-2011
den dolfte 06 2011,12-06-2011
den tionde oktober 2019,10-10-2019
08/04/11,08-04-2011
den trettonde 07 2011,13-07-2011
den trettonde augusti 2019,13-08-2019
26/03/11,26-03-2011
04.01.2019,04-01-2019
den tjugotredje 02 2011,23-02-2011
21 mars 2050,21-03-2050
30.05.50,30-05-2050
22.02.2011,22-02-2011
31/08/11,31-08-2011
27 december 2050,27-12-2050
10/03/50,10-03-2050
den sjätte 10 2050,06-10-2050
20 november 2011,20-11-2011
den tjugoåttonde september 2019,28-09-2019
13.06.19,13-06-2019
den nionde november 2050,09-11-2050
12 maj 2011,12-05-2011
16/04/2050,16-04-2050
den artonde september 2019,18-09-2019
den första 07 2019,01-07-2019
den tjugosjätte oktober 2019,26-10-2019
30.10.2011,30-10-2011
15.08.2011,15-08-2011
19 oktober 2011,19-10-2011
den fjärtonde augusti 2050,14-08-2050
09 september 2011,09-09-2011
den åttonde 09 2011,08-09-2011
30/06/2050,30-06-2050
15.12.2011,15-12-2011
den tjugoförsta juni 2011,21-06-2011
den sjätte 11 2011,06-11-2011
den tjugosjunde juli 2050,27-07-2050
02/08/11,02-08-2011
31.10.19,31-10-2019
20 juli 2011,20-07-2011
den sextonde 03 2019,16-03-2019
18/06/2019,18-06-2019
den andra maj 2019,02-05-2019
den andra oktober 2050,02-10-2050
30.07.2019,30-07-2019
27.07.2011,27-07-2011
den femte 07 2011,05-07-2011
den tredje juli 2011,03-07-2011
18/06/2050,18-06-2050
den sextonde juli 2050,16-07-2050
22/08/2011,22-08-2011
07 december 2050,07-12-2050
21.10.2050,21-10-2050
25 maj 2050,25-05-2050
04/05/2050,04-05-2050
05.01.19,05-01-2019
02.02.2050,02-02-2050
den tjugotredje 04 2050,23-04-2050
29 juli 2019,29-07-2019
den tjugoåttonde 03 2050,28-03-2050
09/12/11,09-12-2011
den artonde 04 2050,18-04-2050
19/06/2050,19-06-2050
20.12.2019,20-12-2019
den tjugonionde 08 2050,29-08-2050
28.03.2011,28-03-2011
13.08.2011,13-08-2011
07.10.2019,07-10-2019
31/07/19,31-07-2019
10/06/2050,10-06-2050
12.03.2019,12-03-2019
den tjugoåttonde 09 2011,28-09-2011
03.07.19,03-07-2019
16 september 2011,16-09-2011
den första februari 2019,01-02-2019
24/07/2011,24-07-2011
den nionde mars 2019,09-03-2019
23/03/2011,23-03-2011
den femte 09 2050,05-09-2050
02.12.2050,02-12-2050
den elfte 06 2011,11-06-2011
28/02/2011,28-02-2011
19/10/19,19-10-2019
08.06.11,08-06-2011
14 februari 2050,14-02-2050
27/01/2011,27-01-2011
28/01/11,28-01-2011
den tjugofjärde 08 2019,24-08-2019
13/12/2050,13-12-2050
14/04/2050,14-04-2050
den dolfte februari 2050,12-02-2050
11.07.11,11-07-2011
05/06/50,05-06-2050
16.03.2011,16-03-2011
den trettionde 11 2050,30-11-2050
22.07.11,22-07-2011
14.10.19,14-10-2019
den tjugofjärde mars 2050,24-03-2050
den femte november 2019,05-11-2019
30/05/19,30-05-2019
den sjätte oktober 2019,06-10-2019
den tjugoandra juni 2011,22-06-2011
den femtonde oktober 2011,15-10-2011
19.12.2050,19-12-2050
17.11.2011,17-11-2011
09.01.2011,09-01-2011
den sjätte 08 2019,06-08-2019
07/07/50,07-07-2050
16.05.50,16-05-2050
20/05/2050,20-05-2050
07.12.2011,07-12-2011
den tjugofjärde 06 2050,24-06-2050
06/05/2011,06-05-2011
12.05.2050,12-05-2050
den nittonde juni 2011,19-06-2011
den första oktober 2050,01-10-2050
21/03/2011,21-03-2011
20.08.2050,20-08-2050
04/03/19,04-03-2019
21/09/2011,21-09-2011
17 november 2050,17-11-2050
den tjugosjunde 10 2019,27-10-2019
10/05/2011,10-05-2011
15.07.11,15-07-2011
03 januari 2019,03-01-2019
23.03.50,23-03-2050
20/02/2050,20-02-2050
04 december 2011,04-12-2011
den sjuttonde 07 2050,17-07-2050
03/03/2011,03-03-2011
21.10.2019,21-10-2019
13.01.19,13-01-2019
22.07.2050,22-07-2050
25/06/2050,25-06-2050
22/08/19,22-08-2019
19.12.2011,19-12-2011
den tjugosjunde februari 2011,27-02-2011
den nittonde augusti 2050,19-08-2050
den tjugofemte december 2019,25-12-2019
27.10.11,27-10-2011
22.06.2050,22-06-2050
10/04/2050,10-04-2050
15/06/2050,15-06-2050
09/08/50,09-08-2050
09/07/2050,09-07-2050
14.02.2011,14-02-2011
08.12.19,08-12-2019
16.12.50,16-12-2050
den tionde juni 2011,10-06-2011
18/12/50,18-12-2050
17/05/19,17-05-2019
04.11.50,04-11-2050
05/12/11,05-12-2011
den femte januari 2050,05-01-2050
23 juni 2019,23-06-2019
03/11/2019,03-11-2019
den femte 12 2050,05-12-2050
20/12/2011,20-12-2011
den tjugoåttonde 12 2011,28-12-2011
17/12/50,17-12-2050
15/09/11,15-09-2011
03/04/2019,03-04-2019
den sjätte 08 2050,06-08-2050
den femtonde november 2019,15-11-2019
25 september 2050,25-09-2050
28/12/19,28-12-2019
04/12/2050,04-12-2050
01 oktober 2011,01-10-2011
17.05.2011,17-05-2011
den trettioförsta 12 2011,31-12-2011
03 april 2050,03-04-2050
14/05/2011,14-05-2011
21/04/2050,21-04-2050
12/04/2050,12-04-2050
04.01.11,04-01-2011
25/11/19,25-11-2019
23.04.11,23-04-2011
18/03/50,18-03-2050
17.04.50,17-04-2050
23.01.11,23-01-2011
04/08/11,04-08-2011
27.12.19,27-12-2019
15.03.50,15-03-2050
09 maj 2050,09-05-2050
den fjärde februari 2019,04-02-2019
den tjugoåttonde januari 2050,28-01-2050
27/03/2019,27-03-2019
den trettionde juni 2011,30-06-2011
20/04/19,20-04-2019
den tredje augusti 2011,03-08-2011
25/03/2019,25-03-2019
den femte 09 2011,05-09-2011
den tjugotredje 05 2050,23-05-2050
09.07.11,09-07-2011
den sextonde maj 2011,16-05-2011
30.08.2019,30-08-2019
25.08.50,25-08-2050
06.04.2050,06-04-2050
30/11/2019,30-11-2019
26/09/2019,26-09-2019
26.11.50,26-11-2050
den tredje 02 2050,03-02-2050
den första 12 2011,01-12-2011
13.10.11,13-10-2011
28/06/2019,28-06-2019
13.03.11,13-03-2011
28/09/50,28-09-2050
04/06/19,04-06-2019
08/11/2011,08-11-2011
den trettonde december 2011,13-12-2011
22.02.19,22-02-2019
09/07/19,09-07-2019
07/01/11,07-01-2011
den sjätte 06 2019,06-06-2019
08.07.2050,08-07-2050
04/02/50,04-02-2050
den sjunde 02 2019,07-02-2019
25/04/2011,25-04-2011
29 november 2050,29-11-2050
12 juni 2050,12-06-2050
05.05.11,05-05-2011
10/09/2019,10-09-2019
19.03.2019,19-03-2019
den nittonde november 2011,19-11-2011
14.05.2050,14-05-2050
den nittonde 11 2019,19-11-2019
28.01.19,28-01-2019
29/07/11,29-07-2011
08/05/11,08-05-2011
17.08.2019,17-08-2019
15.02.2011,15-02-2011
09/03/11,09-03-2011
02 april 2019,02-04-2019
30/08/2050,30-08-2050
den tjugoåttonde 08 2019,28-08-2019
15 september 2019,15-09-2019
30 mars 2011,30-03-2011
14/01/19,14-01-2019
den tjugofjärde 11 2011,24-11-2011
den fjärde 02 2011,04-02-2011
30.10.2019,30-10-2019
25/02/2011,25-02-2011
22.10.19,22-10-2019
24.07.2050,24-07-2050
03/12/50,03-12-2050
22/05/50,22-05-2050
15.01.50,15-01-2050
26/12/11,26-12-2011
09/04/2019,09-04-2019
den tjugofemte augusti 2019,25-08-2019
den första 02 2011,01-02-2011
den tredje januari 2011,03-01-2011
26.06.11,26-06-2011
21.06.19,21-06-2019
18 juli 2011,18-07-2011
06 augusti 2011,06-08-2011
17 oktober 2050,17-10-2050
19/03/11,19-03-2011
01 april 2050,01-04-2050
11/07/2050,11-07-2050
27.11.2019,27-11-2019
31/05/50,31-05-2050
den tjugoåttonde maj 2050,28-05-2050
25.11.2050,25-11-2050
den sjuttonde augusti 2011,17-08-2011
den första 08 2050,01-08-2050
den tjugonde 06 2011,20-06-2011
06/03/11,06-03-2011
07.05.2050,07-05-2050
05.12.19,05-12-2019
03 augusti 2019,03-08-2019
den tjugoandra 03 2050,22-03-2050
den tjugonionde 10 2050,29-10-2050
den tjugoförsta 08 2011,21-08-2011
10 april 2019,10-04-2019
10.02.2011,10-02-2011
den tjugoförsta november 2011,21-11-2011
03/06/11,03-06-2011
den trettonde 06 2011,13-06-2011
08.06.19,08-06-2019
08.01.50,08-01-2050
den femte 08 2019,05-08-2019
01/03/50,01-03-2050
18/02/50,18-02-2050
05 februari 2019,05-02-2019
12.07.2011,12-07-2011
31 januari 2011,31-01-2011
17.05.2050,17-05-2050
13 september 2019,13-09-2019
12/01/2011,12-01-2011
15.02.19,15-02-2019
07/09/2011,07-09-2011
den sjuttonde mars 2019,17-03-2019
08/03/2050,08-03-2050
01.11.2050,01-11-2050
17/03/11,17-03-2011
23 december 2019,23-12-2019
den tjugoförsta augusti 2019,21-08-2019
23.02.19,23-02-2019
25/02/2019,25-02-2019
11.02.2050,11-02-2050
25.01.2019,25-01-2019
04/07/50,04-07-2050
04.10.2011,04-10-2011
12.11.19,12-11-2019
12/12/19,12-12-2019
15 augusti 2019,15-08-2019
07.05.2019,07-05-2019
04/04/2011,04-04-2011
03.10.19,03-10-2019
08.10.50,08-10-2050
30/04/2019,30-04-2019
22.05.19,22-05-2019
12 februari 2011,12-02-2011
30/07/11,30-07-2011
06/03/50,06-03-2050
12.09.2050,12-09-2050
den tjugoandra 11 2019,22-11-2019
06/06/2011,06-06-2011
12.10.50,12-10-2050
06/11/2050,06-11-2050
05/04/2019,05-04-2019
18.12.19,18-12-2019
08.02.11,08-02-2011
03.11.50,03-11-2050
21/02/19,21-02-2019
20/09/2019,20-09-2019
23/10/19,23-10-2019
den tjugotredje september 2050,23-09-2050
den trettonde maj 2050,13-05-2050
den tjugofemte juli 2019,25-07-2019
07 februari 2011,07-02-2011
18 januari 2019,18-01-2019
06/01/2050,06-01-2050
den tjugotredje 05 2019,23-05-2019
20.04.2011,20-04-2011
27.07.19,27-07-2019
